raw,processed
"Untuk menu Favorit transaksi trasfer rekening bank, BPJS, ga muncul di tampilan menu favorit ya padahal sudah disimpan. Sebenernya data menu Favorit sudah ada tapai sehabis update terakhir kemarin jadi ilang semua, mau nyimpan menu transaksi lagi ga bisa karna masih ada bug nya. Mohon bisa segera diperbaiki. Karna sekarang hampir semua transaksi menggunakan link aja. Ga ribet ga perlu kartu dan bisa bebas tranfer mau ambil duit pun di semua ATM Link bisa tanpa kartu.",untuk menu favorit transaksi trasfer rekening bank bpjs muncul tampilan menu favorit disimpan data menu favorit tapai sehabis update terakhir kemarin jadi hilang nyimpan menu transaksi bug diperbaiki transaksi menggunakan link ribet perlu kartu bebas tranfer ambil duit atm link kartu
"Alhamdulilah 1 Tahun bersama Link aja. Saya cukup puas memakai jasa nya untuk pembayaran PLN, Net dan Pam. Kedepan semoga dapat membayar Pajak PBB untuk Kabupaten saya dan terhubung dg Shopee Pay",alhamdulilah tahun link cukup puas memakai jasa untuk pembayaran pln net pam kedepan semoga membayar pajak pbb untuk kabupaten terhubung shopee pay
Mau log in aja kok susah banget.. kode verifikasi gak keluar2. Pas udah dapet kode gabisa autofill dan gak bisa di copy paste ke aplikasi. Gimana nih setelah upgrade malah jadi buruk banget,log susah banget kode verifikasi keluar pas kode tidak bisa autofill copy paste upgrade jadi buruk banget
Bintang berkurang karena saya ada kendala nomer telfon yg di pakai sudah tidak bisa terpakai..tapi tidak ada solusi yg mudah dari link aja...gara2 nomer tlfn yg di pakai link aja mati jadi saya tidak bisa terima kode verifikasi.tolong solusinya min..saldo saya masih ada di link aja padahal selama ini saya suka bgt pakai link aja baru kali ini ada kendala trimakasih,bintang berkurang kendala nomer telfon pakai terpakai solusi mudah link gara nomer tlfn pakai link mati jadi terima kode verifikasi solusinya min saldo link suka banget pakai link kali kendala trimakasih
Saya sudah menghubungi lewat email dan disuruh melampirkan data diri dan berkas pendukung salah satu nya Kartu Keluarga. Saya sudah memfoto Kartu Keluarga Asli tetapi selalu ditolak karena dikira Fotocopy karena kertasnya HVS Putih. Mohon diberikan edukasi kepada Verifikator Bahwa Dokumen Kartu Keluarga yang terbaru dari Disdukcapil itu MEMANG MENGGUNAKAN KERTAS HVS PUTIH JADI JANGAN DIKIRA FOTOCOPY.,menghubungi lewat email disuruh melampirkan data berkas pendukung salah satu kartu keluarga memfoto kartu keluarga asli ditolak dikira fotocopy kertasnya hvs putih diberikan edukasi verifikator dokumen kartu keluarga terbaru disdukcapil menggunakan kertas hvs putih jadi dikira fotocopy
Aplikasi aneh.. Sudah top up tapi gk masak.. Udah telfon call center.. Suruh nunggu 1x24 jam.. Udah tunggu.. Tetep gk masuk.. Di telfon lagi.. Katanya suruh nunggu lagi.. Kan aneh...,aneh top up gak masak telfon call center suruh menunggu jam tunggu tetap gak masuk telfon katanya suruh menunggu aneh
Barusan habis update. Tapi sampai sekarang saya belum terima kode verifikasi akun saya. Sudah berkali² coba masih saja belum dapat. Tolong donk.. saya jadi susah untuk transaksi.,barusan habis update terima kode verifikasi akun berkali coba jadi susah untuk transaksi
"Sebelumnya Halo selamat siang, saya hanya mau menyampaikan ketidaknyamanan saya, saya baru saja mengunduh dan bergabung dengan LinkAja. Tetapi kenapa saat saya mau melakukan Upgrade full service dan mengambil gambar serta mengunggah foto KTP saya selalu Gagal? Kenapa setiap gambar yang saya ambil selalu berubah ukuran, sehingga menjadikan kualitas gambar jelek?",halo selamat siang menyampaikan ketidaknyamanan mengunduh bergabung melakukan upgrade full service mengambil gambar mengunggah foto ktp gagal gambar ambil berubah ukuran menjadikan kualitas gambar jelek
"Bintang 5 sih untuk linkaja. Udah hampir 1 tahun pake linkaja baik"" dan lancar semua dalam bertransaksi tranfer antar bank dll. Tapi setelah sy memperbarui aplikasi kemarin ke versi 4.18.1 ehh, malah gak bisa transaksi seperti transfer uang antar bank. Bagaimana ini dg kebijakan pembaruan? Seharusnya lebih baik. Ini malah menghancurkan versi lama sebelum versi 4.18.1. Kecewaa😭",bintang untuk tahun pakai baik lancar bertransaksi tranfer bank dan lain-lain memperbarui kemarin versi eh transaksi transfer uang bank kebijakan pembaruan baik menghancurkan versi versi kecewaa
Saya top up pulsa gagal. Sampai skrg blm balik. Setelah saya upgrade versi malah jadi ngelag2 mulu. Buat cek emoney jg ga bisa. Maunya apa sih. Malah lancar versi sebelumnya.,top up pulsa gagal balik upgrade versi jadi ngelag terus cek emoney maunya lancar versi
